City,Customer type,Gender,Product line,Unit price,Total,payment,,filter,filter by city,filter by customer,filter by gender,filter by product line,filter by payment,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Food and beverages,49.38,362.943,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,28.53,299.565,Ewallet,,,Naypyitaw,Member,Female,Home and lifestyle,83.77,527.751,Ewallet,,Naypyitaw,Member,Female,Home and lifestyle,60.87,63.9135,Cash,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Sports and travel,42.47,44.5935,Cash,,,Naypyitaw,Normal,Female,Food and beverages,93.26,881.307,Cash,,,Naypyitaw,Member,Female,Sports and travel,36.98,388.29,Credit card,,Naypyitaw,Member,Female,Electronic accessories,30.2,253.68,Ewallet,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Health and beauty,76.99,485.037,Cash,,,Naypyitaw,Normal,Male,Electronic accessories,11.81,62.0025,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,12.12,127.26,Credit card,,Naypyitaw,Member,Female,Sports and travel,64.97,341.0925,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Home and lifestyle,47.38,198.996,Cash,,,Naypyitaw,Member,Female,Fashion accessories,12.54,13.167,Cash,,,Naypyitaw,Member,Female,Fashion accessories,31.9,33.495,Ewallet,,Naypyitaw,Member,Female,Sports and travel,29.22,184.086,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Sports and travel,44.86,471.03,Ewallet,,,Naypyitaw,Member,Female,Sports and travel,87.16,183.036,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,15.95,100.485,Credit card,,Naypyitaw,Member,Female,Food and beverages,14.87,31.227,Credit card,,,,,,,,,,,,,,,,
Yangon,Member,Female,Sports and travel,21.98,161.553,Ewallet,,,Naypyitaw,Member,Male,Electronic accessories,37.06,155.652,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,58.39,429.1665,Credit card,,Naypyitaw,Member,Female,Food and beverages,72.88,688.716,Cash,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Health and beauty,64.36,608.202,Credit card,,,Naypyitaw,Normal,Male,Health and beauty,17.41,91.4025,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,51.47,54.0435,Ewallet,,Naypyitaw,Member,Female,Home and lifestyle,86.27,90.5835,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Health and beauty,89.75,94.2375,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,44.22,232.155,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,39.39,206.7975,Credit card,,Naypyitaw,Member,Female,Health and beauty,62.82,131.922,Ewallet,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Electronic accessories,97.16,102.018,Ewallet,,,Naypyitaw,Member,Male,Fashion accessories,93.2,195.72,Credit card,,,Naypyitaw,Member,Male,Sports and travel,71.92,377.58,Credit card,,Naypyitaw,Member,Female,Fashion accessories,10.18,85.512,Credit card,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Health and beauty,87.87,922.635,Ewallet,,,Naypyitaw,Member,Male,Fashion accessories,35.19,369.495,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,83.17,523.971,Cash,,Naypyitaw,Member,Female,Fashion accessories,92.49,485.5725,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Electronic accessories,12.45,78.435,Cash,,,Naypyitaw,Normal,Female,Sports and travel,14.39,30.219,Credit card,,,Naypyitaw,Member,Female,Food and beverages,87.48,551.124,Ewallet,,Naypyitaw,Member,Female,Food and beverages,47.27,297.801,Cash,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Food and beverages,52.75,166.1625,Ewallet,,,Naypyitaw,Member,Male,Electronic accessories,65.94,276.948,Credit card,,,Naypyitaw,Member,Male,Health and beauty,75.88,79.674,Credit card,,Naypyitaw,Member,Female,Electronic accessories,44.84,423.738,Credit card,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Home and lifestyle,82.7,521.01,Cash,,,Naypyitaw,Normal,Female,Fashion accessories,16.45,69.09,Ewallet,,,Naypyitaw,Member,Male,Electronic accessories,18.77,118.251,Credit card,,Naypyitaw,Member,Female,Home and lifestyle,78.38,329.196,Cash,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Fashion accessories,48.71,51.1455,Cash,,,Naypyitaw,Normal,Male,Home and lifestyle,35.47,148.974,Credit card,,,Naypyitaw,Member,Female,Food and beverages,98.52,1034.46,Ewallet,,Naypyitaw,Member,Female,Home and lifestyle,35.79,338.2155,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Fashion accessories,78.55,742.2975,Cash,,,Naypyitaw,Member,Female,Health and beauty,21.12,44.352,Cash,,,Naypyitaw,Member,Female,Fashion accessories,92.98,195.258,Credit card,,Naypyitaw,Member,Female,Home and lifestyle,12.73,26.733,Credit card,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Electronic accessories,23.07,218.0115,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,21.82,229.11,Cash,,,Naypyitaw,Member,Male,Health and beauty,46.53,293.139,Credit card,,Naypyitaw,Member,Female,Sports and travel,35.22,221.886,Ewallet,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Food and beverages,58.26,367.038,Cash,,,Naypyitaw,Normal,Female,Fashion accessories,95.42,400.764,Ewallet,,,Naypyitaw,Member,Female,Home and lifestyle,24.24,178.164,Ewallet,,Naypyitaw,Member,Female,Fashion accessories,83.35,175.035,Credit card,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Health and beauty,30.35,223.0725,Cash,,,Naypyitaw,Member,Male,Fashion accessories,70.99,745.395,Cash,,,Naypyitaw,Member,Female,Fashion accessories,51.89,381.3915,Cash,,Naypyitaw,Member,Female,Food and beverages,21.04,88.368,Cash,,,,,,,,,,,,,,,,
Yangon,Member,Male,Electronic accessories,88.67,931.035,Ewallet,,,Naypyitaw,Normal,Male,Home and lifestyle,37,38.85,Credit card,,,Naypyitaw,Member,Female,Food and beverages,49.79,209.118,Credit card,,Naypyitaw,Member,Female,Electronic accessories,60.95,63.9975,Ewallet,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Fashion accessories,27.38,172.494,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,74.86,78.603,Cash,,,Naypyitaw,Member,Female,Food and beverages,98.97,935.2665,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Sports and travel,62.13,391.419,Cash,,,Naypyitaw,Normal,Female,Sports and travel,23.75,224.4375,Cash,,,Naypyitaw,Member,Male,Sports and travel,80.93,84.9765,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Food and beverages,33.98,321.111,Cash,,,Naypyitaw,Normal,Male,Electronic accessories,27.85,204.6975,Ewallet,,,Naypyitaw,Member,Male,Electronic accessories,87.91,461.5275,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Electronic accessories,81.97,860.685,Cash,,,Naypyitaw,Member,Female,Electronic accessories,51.92,272.58,Cash,,,Naypyitaw,Member,Female,Fashion accessories,43.46,273.798,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Sports and travel,16.49,34.629,Ewallet,,,Naypyitaw,Normal,Male,Electronic accessories,28.84,121.128,Cash,,,Naypyitaw,Member,Female,Electronic accessories,88.55,743.82,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Health and beauty,98.21,309.3615,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,88.61,93.0405,Cash,,,Naypyitaw,Member,Female,Food and beverages,72.52,609.168,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Fashion accessories,72.84,535.374,Cash,,,Naypyitaw,Normal,Male,Fashion accessories,99.82,209.622,Credit card,,,Naypyitaw,Member,Male,Electronic accessories,12.05,63.2625,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,58.07,548.7615,Ewallet,,,Naypyitaw,Normal,Male,Food and beverages,48.61,51.0405,Cash,,,Naypyitaw,Member,Female,Sports and travel,15.49,32.529,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Home and lifestyle,80.79,763.4655,Credit card,,,Naypyitaw,Member,Male,Fashion accessories,69.33,145.593,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,17.14,125.979,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Fashion accessories,27.02,85.113,Credit card,,,Naypyitaw,Member,Female,Electronic accessories,78.13,820.365,Cash,,,Naypyitaw,Member,Female,Food and beverages,87.1,914.55,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Fashion accessories,21.94,115.185,Ewallet,,,Naypyitaw,Member,Male,Food and beverages,99.37,208.677,Cash,,,Naypyitaw,Member,Female,Health and beauty,47.71,300.573,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Fashion accessories,51.36,53.928,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,21.08,66.402,Cash,,,Naypyitaw,Member,Male,Sports and travel,72.88,153.048,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Food and beverages,10.96,115.08,Ewallet,,,Naypyitaw,Member,Male,Electronic accessories,74.79,392.6475,Cash,,,Naypyitaw,Member,Female,Sports and travel,70.19,663.2955,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Home and lifestyle,53.44,112.224,Ewallet,,,Naypyitaw,Member,Female,Health and beauty,29.67,218.0745,Credit card,,,Naypyitaw,Member,Male,Food and beverages,55.04,404.544,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Electronic accessories,99.56,836.304,Credit card,,,Naypyitaw,Member,Male,Health and beauty,44.07,185.094,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,73.38,539.343,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Sports and travel,57.12,419.832,Credit card,,,Naypyitaw,Normal,Female,Food and beverages,22.93,216.6885,Cash,,,Naypyitaw,Member,Male,Food and beverages,68.98,72.429,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Sports and travel,99.96,944.622,Credit card,,,Naypyitaw,Normal,Female,Health and beauty,39.42,41.391,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,75.53,317.226,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Home and lifestyle,63.91,536.844,Credit card,,,Naypyitaw,Member,Male,Food and beverages,94.26,395.892,Cash,,,Naypyitaw,Member,Male,Fashion accessories,98.7,829.08,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Fashion accessories,56.47,474.348,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,14.7,77.175,Ewallet,,,Naypyitaw,Member,Female,Sports and travel,90.63,856.4535,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Home and lifestyle,93.69,688.6215,Credit card,,,Naypyitaw,Normal,Female,Electronic accessories,47.65,150.0975,Credit card,,,Naypyitaw,Member,Female,Food and beverages,36.77,270.2595,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Sports and travel,32.25,169.3125,Cash,,,Naypyitaw,Normal,Female,Food and beverages,97.03,509.4075,Ewallet,,,Naypyitaw,Member,Female,Health and beauty,28.5,239.4,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Fashion accessories,31.73,299.8485,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,89.25,749.7,Cash,,,Naypyitaw,Member,Male,Home and lifestyle,55.57,175.0455,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Food and beverages,68.54,575.736,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,99.3,1042.65,Credit card,,,Naypyitaw,Member,Male,Health and beauty,81.95,860.475,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Sports and travel,90.28,853.146,Ewallet,,,Naypyitaw,Normal,Female,Electronic accessories,30.24,31.752,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,81.2,596.82,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Fashion accessories,39.62,291.207,Cash,,,Naypyitaw,Normal,Female,Fashion accessories,37.55,394.275,Credit card,,,Naypyitaw,Member,Female,Sports and travel,31.67,266.028,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Sports and travel,92.13,580.419,Cash,,,Naypyitaw,Normal,Female,Sports and travel,95.44,1002.12,Cash,,,Naypyitaw,Member,Female,Food and beverages,38.42,40.341,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Female,Sports and travel,34.84,146.328,Cash,,,Naypyitaw,Normal,Female,Food and beverages,94.47,793.548,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,10.53,55.2825,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Electronic accessories,87.45,550.935,Credit card,,,Naypyitaw,Normal,Male,Food and beverages,99.79,209.559,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,81.23,597.0405,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Health and beauty,81.3,512.19,Ewallet,,,Naypyitaw,Normal,Female,Food and beverages,41.24,173.208,Cash,,,Naypyitaw,Member,Female,Fashion accessories,84.87,267.3405,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Fashion accessories,90.22,284.193,Cash,,,Naypyitaw,Normal,Female,Fashion accessories,81.68,343.056,Cash,,,Naypyitaw,Member,Female,Health and beauty,85.87,631.1445,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Electronic accessories,26.31,138.1275,Credit card,,,Naypyitaw,Normal,Female,Electronic accessories,51.32,484.974,Cash,,,Naypyitaw,Member,Female,Sports and travel,67.99,499.7265,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Home and lifestyle,34.42,216.846,Cash,,,Naypyitaw,Normal,Female,Sports and travel,14.36,150.78,Cash,,,Naypyitaw,Member,Male,Food and beverages,65.65,137.865,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Sports and travel,51.91,545.055,Cash,,,Naypyitaw,Normal,Female,Home and lifestyle,70.11,441.693,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,65.31,480.0285,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Sports and travel,72.5,609,Ewallet,,,Naypyitaw,Normal,Male,Fashion accessories,42.08,265.104,Cash,,,Naypyitaw,Member,Male,Sports and travel,25.25,132.5625,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Sports and travel,89.8,942.9,Credit card,,,Naypyitaw,Normal,Male,Sports and travel,95.49,701.8515,Ewallet,,,Naypyitaw,Member,Female,Health and beauty,10.16,53.34,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Health and beauty,90.5,950.25,Cash,,,Naypyitaw,Member,Male,Fashion accessories,96.98,407.316,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,60.47,190.4805,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Health and beauty,68.6,720.3,Cash,,,Naypyitaw,Normal,Female,Electronic accessories,26.61,55.881,Cash,,,Naypyitaw,Member,Male,Health and beauty,68.55,287.91,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Female,Food and beverages,30.41,31.9305,Credit card,,,Naypyitaw,Member,Female,Food and beverages,74.89,314.538,Ewallet,,,Naypyitaw,Member,Female,Home and lifestyle,60.87,63.9135,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Home and lifestyle,77.95,491.085,Ewallet,,,Naypyitaw,Normal,Male,Food and beverages,46.77,294.651,Cash,,,Naypyitaw,Member,Male,Home and lifestyle,86.69,455.1225,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Health and beauty,46.26,291.438,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,54.07,510.9615,Ewallet,,,Naypyitaw,Member,Female,Electronic accessories,30.2,253.68,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Female,Fashion accessories,30.14,316.47,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,80.48,253.512,Cash,,,Naypyitaw,Member,Male,Fashion accessories,67.39,495.3165,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Health and beauty,66.14,277.788,Credit card,,,Naypyitaw,Normal,Female,Food and beverages,39.43,248.409,Credit card,,,Naypyitaw,Member,Female,Sports and travel,64.97,341.0925,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Home and lifestyle,71.86,603.624,Credit card,,,Naypyitaw,Normal,Male,Home and lifestyle,46.22,194.124,Credit card,,,Naypyitaw,Member,Male,Sports and travel,10.17,10.6785,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Health and beauty,32.46,272.664,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,13.98,14.679,Ewallet,,,Naypyitaw,Member,Female,Sports and travel,29.22,184.086,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Fashion accessories,91.54,384.468,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,97.79,718.7565,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,14.87,31.227,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Sports and travel,34.56,254.016,Credit card,,,Naypyitaw,Normal,Female,Fashion accessories,23.82,125.055,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,72.88,688.716,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Fashion accessories,83.24,786.618,Credit card,,,Naypyitaw,Normal,Female,Home and lifestyle,45.38,190.596,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,86.27,90.5835,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Food and beverages,16.48,103.824,Ewallet,,,Naypyitaw,Member,Female,Health and beauty,81.51,85.5855,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,33.81,106.5015,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Sports and travel,80.97,680.148,Cash,,,Naypyitaw,Member,Female,Food and beverages,38.6,121.59,Ewallet,,,Naypyitaw,Member,Female,Health and beauty,62.82,131.922,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Food and beverages,92.29,484.5225,Credit card,,,Naypyitaw,Normal,Female,Electronic accessories,84.05,264.7575,Cash,,,Naypyitaw,Member,Male,Food and beverages,24.31,76.5765,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Electronic accessories,72.17,75.7785,Cash,,,Naypyitaw,Member,Female,Fashion accessories,97.21,1020.705,Credit card,,,Naypyitaw,Member,Male,Fashion accessories,52.35,54.9675,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Home and lifestyle,50.28,263.97,Ewallet,,,Naypyitaw,Normal,Male,Fashion accessories,16.28,17.094,Cash,,,Naypyitaw,Member,Female,Fashion accessories,10.18,85.512,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Health and beauty,97.22,918.729,Ewallet,,,Naypyitaw,Normal,Male,Food and beverages,43.27,90.867,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,92.49,485.5725,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Sports and travel,93.39,588.357,Ewallet,,,Naypyitaw,Normal,Male,Sports and travel,99.24,937.818,Ewallet,,,Naypyitaw,Member,Female,Food and beverages,47.27,297.801,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Food and beverages,43.18,362.712,Credit card,,,Naypyitaw,Member,Male,Sports and travel,82.93,348.306,Ewallet,,,Naypyitaw,Member,Male,Health and beauty,85.6,629.16,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Sports and travel,63.69,66.8745,Cash,,,Naypyitaw,Member,Male,Food and beverages,17.04,71.568,Ewallet,,,Naypyitaw,Member,Female,Electronic accessories,44.84,423.738,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Food and beverages,45.79,336.5565,Credit card,,,Naypyitaw,Normal,Female,Electronic accessories,40.86,343.224,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,78.38,329.196,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Sports and travel,76.4,160.44,Ewallet,,,Naypyitaw,Member,Male,Food and beverages,17.44,91.56,Cash,,,Naypyitaw,Member,Male,Sports and travel,42.85,44.9925,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Food and beverages,39.9,418.95,Credit card,,,Naypyitaw,Normal,Male,Fashion accessories,12.78,13.419,Ewallet,,,Naypyitaw,Member,Female,Home and lifestyle,35.79,338.2155,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Health and beauty,42.57,357.588,Ewallet,,,Naypyitaw,Member,Male,Food and beverages,27.66,290.43,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,12.73,26.733,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Home and lifestyle,95.58,1003.59,Cash,,,Naypyitaw,Normal,Male,Fashion accessories,45.74,144.081,Credit card,,,Naypyitaw,Member,Female,Sports and travel,35.22,221.886,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Fashion accessories,98.98,1039.29,Credit card,,,Naypyitaw,Member,Female,Electronic accessories,46.57,488.985,Cash,,,Naypyitaw,Member,Female,Fashion accessories,83.35,175.035,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Food and beverages,51.28,323.064,Cash,,,Naypyitaw,Normal,Male,Food and beverages,35.89,37.6845,Credit card,,,Naypyitaw,Member,Male,Home and lifestyle,85.72,270.018,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Sports and travel,69.52,510.972,Credit card,,,Naypyitaw,Normal,Male,Food and beverages,40.52,212.73,Cash,,,Naypyitaw,Member,Male,Fashion accessories,99.82,943.299,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Health and beauty,70.01,367.5525,Ewallet,,,Naypyitaw,Normal,Female,Sports and travel,73.95,310.59,Cash,,,Naypyitaw,Member,Male,Electronic accessories,84.25,176.925,Credit card,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Food and beverages,80.05,420.2625,Credit card,,,Naypyitaw,Member,Female,Food and beverages,22.62,23.751,Cash,,,Naypyitaw,Member,Male,Home and lifestyle,35.81,188.0025,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Electronic accessories,20.85,175.14,Cash,,,Naypyitaw,Member,Female,Sports and travel,54.55,572.775,Credit card,,,Naypyitaw,Member,Female,Food and beverages,21.04,88.368,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Electronic accessories,52.89,333.207,Credit card,,,Naypyitaw,Member,Female,Health and beauty,37.15,273.0525,Credit card,,,Naypyitaw,Member,Male,Food and beverages,50.49,477.1305,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Normal,Male,Food and beverages,19.79,166.236,Ewallet,,,Naypyitaw,Normal,Male,Food and beverages,21.58,22.659,Ewallet,,,Naypyitaw,Member,Male,Fashion accessories,91.98,96.579,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Home and lifestyle,33.84,319.788,Ewallet,,,Naypyitaw,Member,Female,Electronic accessories,98.84,103.782,Cash,,,Naypyitaw,Member,Male,Electronic accessories,96.82,304.983,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Food and beverages,22.17,186.228,Credit card,,,Naypyitaw,Member,Female,Home and lifestyle,83.77,527.751,Ewallet,,,Naypyitaw,Member,Male,Food and beverages,59.59,250.278,Cash,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Fashion accessories,22.51,165.4485,Credit card,,,Naypyitaw,Normal,Male,Electronic accessories,84.07,353.094,Ewallet,,,Naypyitaw,Member,Male,Electronic accessories,82.34,864.57,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Food and beverages,73.88,465.444,Ewallet,,,Naypyitaw,Normal,Male,Food and beverages,65.97,554.148,Cash,,,Naypyitaw,Member,Female,Electronic accessories,60.95,63.9975,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Health and beauty,86.8,273.42,Ewallet,,,Naypyitaw,Normal,Female,Electronic accessories,32.8,344.4,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Fashion accessories,64.26,472.311,Cash,,,Naypyitaw,Member,Female,Sports and travel,36.98,388.29,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Member,Male,Food and beverages,38.47,323.148,Cash,,,Naypyitaw,Normal,Male,Home and lifestyle,22.96,24.108,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Member,Male,Sports and travel,15.5,162.75,Ewallet,,,Naypyitaw,Member,Female,Home and lifestyle,12.12,127.26,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Male,Health and beauty,34.31,288.204,Ewallet,,,Naypyitaw,Normal,Female,Electronic accessories,63.22,132.762,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Female,Sports and travel,12.34,90.699,Credit card,,,Naypyitaw,Normal,Female,Food and beverages,90.24,568.512,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Food and beverages,18.08,56.952,Ewallet,,,Naypyitaw,Member,Female,Fashion accessories,31.9,33.495,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Female,Home and lifestyle,94.49,793.716,Ewallet,,,Naypyitaw,Normal,Male,Home and lifestyle,69.4,145.74,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,Member,Male,Home and lifestyle,46.47,195.174,Cash,,,Naypyitaw,Member,Female,Home and lifestyle,15.95,100.485,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangon,Normal,Male,Home and lifestyle,74.07,77.7735,Ewallet,,,Naypyitaw,Member,Male,Sports and travel,58.39,429.1665,Credit card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naypyitaw,Normal,Female,Home and lifestyle,69.81,293.202,Credit card,,,Naypyitaw,Member,Female,Fashion accessories,51.47,54.0435,Ewallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
